,nombre,etapa,curso,clase,hermano de
0,594,primaria,1,A,784
1,784,primaria,2,B,594
2,685,primaria,1,B,827
3,827,primaria,2,C,685
4,817,primaria,2,B,2120
5,2120,secundaria,2,C,817
6,949,primaria,2,B,1575
7,1575,primaria,6,A,949
8,1813,secundaria,1,B,2117
9,2117,secundaria,2,C,1813
10,1390,primaria,5,B,2211
11,2211,secundaria,3,A,1390
12,1213,primaria,4,B,1235
13,1235,primaria,4,C,1213
14,1171,primaria,4,B,475
15,475,infantil,3,B,1171
16,2303,secundaria,3,C,153
17,153,infantil,1,A,2303
18,2367,secundaria,4,A,1008
19,1008,primaria,3,A,2367
20,899,primaria,2,C,166
21,166,infantil,1,B,899
22,1358,primaria,4,C,1952
23,1952,secundaria,2,C,1358
24,1363,primaria,4,B,1034
25,1034,primaria,3,C,1363
26,508,infantil,3,B,2115
27,2115,secundaria,2,A,508
28,1617,primaria,6,A,241
29,241,infantil,2,B,1617
30,1415,primaria,5,C,961
31,961,primaria,2,B,1415
32,342,infantil,2,A,2269
33,2269,secundaria,3,B,342
34,103,infantil,1,B,1865
35,1865,secundaria,1,C,103
36,2468,secundaria,4,C,2291
37,2291,secundaria,3,C,2468
38,1819,secundaria,1,B,1517
39,1517,primaria,5,C,1819
40,2339,secundaria,3,C,1319
41,1319,primaria,4,C,2339
42,2140,secundaria,2,B,710
43,710,primaria,1,C,2140
44,884,primaria,2,C,599
45,599,primaria,1,C,884
46,1500,primaria,5,A,2237
47,2237,secundaria,3,C,1500
48,354,infantil,2,A,17
49,17,infantil,1,C,354
50,2203,secundaria,3,B,310
51,310,infantil,2,B,2203
52,136,infantil,1,B,249
53,249,infantil,2,A,136
54,2309,secundaria,3,C,2061
55,2061,secundaria,2,A,2309
56,1689,primaria,6,A,111
57,111,infantil,1,A,1689
58,1765,secundaria,1,B,265
59,265,infantil,2,B,1765
60,1280,primaria,4,C,893
61,893,primaria,2,C,1280
62,479,infantil,3,C,396
63,396,infantil,3,A,479
64,1382,primaria,5,C,2119
65,2119,secundaria,2,B,1382
