,nombre,etapa,curso,clase,hermano de
0,363,primaria,5,B,117
1,117,infantil,3,B,363
2,364,primaria,5,A,241
3,241,primaria,3,B,364
4,267,primaria,3,B,16
5,16,infantil,1,A,267
6,27,infantil,1,B,243
7,243,primaria,3,B,27
8,206,primaria,2,A,44
9,44,infantil,1,A,206
10,19,infantil,1,B,213
11,213,primaria,2,B,19
12,271,primaria,3,B,283
13,283,primaria,4,B,271
14,213,primaria,2,B,45
15,45,infantil,1,B,213
16,66,infantil,2,A,109
17,109,infantil,3,B,66
18,2,infantil,1,A,400
19,400,primaria,6,A,2
20,53,infantil,2,B,122
21,122,infantil,3,A,53
22,75,infantil,2,B,314
23,314,primaria,4,A,75
24,118,infantil,3,A,69
25,69,infantil,2,B,118
26,29,infantil,1,B,302
27,302,primaria,4,A,29
28,146,primaria,1,A,190
29,190,primaria,2,A,146
30,375,primaria,6,B,325
31,325,primaria,5,B,375
32,206,primaria,2,A,408
33,408,primaria,6,A,206
34,326,primaria,5,A,31
35,31,infantil,1,B,326
